#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29FCF
#Date Time: 2022-04-06 19:20:10.910
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),Bus,nRESET,MODE,nCSW,nCSR,nINT
-0.00012825,b01000011,1,1,1,0,1
-0.000128,b01000011,1,1,1,0,1
-0.00012775,b01000011,1,1,1,0,1
-0.0001275,b01000011,1,1,1,0,1
-0.00012725,b01000011,1,1,1,0,1
-0.000127,b01000011,1,1,1,0,1
-0.00012675,b01000011,1,1,1,0,1
-0.0001265,b01000011,1,1,1,0,1
-0.00012625,b01000011,1,1,1,0,1
-0.000126,b01000011,1,1,1,0,1
-0.00012575,b01000011,1,1,1,0,1
-0.0001255,b01000011,1,1,1,0,1
-0.00012525,b01000011,1,1,1,0,1
-0.000125,b01000011,1,1,1,0,1
-0.00012475,b01000011,1,1,1,0,1
-0.0001245,b01000011,1,1,1,0,1
-0.00012425,b01000011,1,1,1,0,1
-0.000124,b01000011,1,1,1,0,1
-0.00012375,b01000011,1,1,1,0,1
-0.0001235,b01000011,1,1,1,0,1
-0.00012325,b01000011,1,1,1,0,1
-0.000123,b01000011,1,1,1,0,1
-0.00012275,b01000011,1,1,1,0,1
-0.0001225,b01000011,1,1,1,0,1
-0.00012225,b01000011,1,1,1,0,1
-0.000122,b01000011,1,1,1,0,1
-0.00012175,b01000011,1,1,1,0,1
-0.0001215,b01000011,1,1,1,0,1
-0.00012125,b01000011,1,1,1,0,1
-0.000121,b01000011,1,1,1,0,1
-0.00012075,b01000011,1,1,1,0,1
-0.0001205,b01000011,1,1,1,0,1
-0.00012025,b01000011,1,1,1,0,1
-0.00012,b01000011,1,1,1,0,1
-0.00011975,b01000011,1,1,1,0,1
-0.0001195,b01000011,1,1,1,0,1
-0.00011925,b01000011,1,1,1,0,1
-0.000119,b01000011,1,1,1,0,1
-0.00011875,b01000011,1,1,1,0,1
-0.0001185,b01000011,1,1,1,0,1
-0.00011825,b01000011,1,1,1,0,1
-0.000118,b01000011,1,1,1,0,1
-0.00011775,b01000011,1,1,1,0,1
-0.0001175,b01000011,1,1,1,0,1
-0.00011725,b01000011,1,1,1,0,1
-0.000117,b01000011,1,1,1,0,1
-0.00011675,b01000011,1,1,1,0,1
-0.0001165,b01000011,1,1,1,0,1
-0.00011625,b01000011,1,1,1,0,1
-0.000116,b01000011,1,1,1,0,1
-0.00011575,b01000011,1,1,1,0,1
-0.0001155,b01000011,1,1,1,0,1
-0.00011525,b01000011,1,1,1,0,1
-0.000115,b01000011,1,1,1,0,1
-0.00011475,b01000011,1,1,1,0,1
-0.0001145,b01000011,1,1,1,0,1
-0.00011425,b01000011,1,1,1,0,1
-0.000114,b01000011,1,1,1,0,1
-0.00011375,b01000011,1,1,1,0,1
-0.0001135,b01000011,1,1,1,0,1
-0.00011325,b01000011,1,1,1,0,1
-0.000113,b01000011,1,1,1,0,1
-0.00011275,b01000011,1,1,1,0,1
-0.0001125,b01000011,1,1,1,0,1
-0.00011225,b01000011,1,1,1,0,1
-0.000112,b01000011,1,1,1,0,1
-0.00011175,b01000011,1,1,1,0,1
-0.0001115,b01000011,1,1,1,0,1
-0.00011125,b01000011,1,1,1,0,1
-0.000111,b01000011,1,1,1,0,1
-0.00011075,b01000011,1,1,1,0,1
-0.0001105,b01000011,1,1,1,0,1
-0.00011025,b01000011,1,1,1,0,1
-0.00011,b01000011,1,1,1,0,1
-0.00010975,b01000011,1,1,1,0,1
-0.0001095,b01000011,1,1,1,0,1
-0.00010925,b01000011,1,1,1,0,1
-0.000109,b01000011,1,1,1,0,1
-0.00010875,b01000011,1,1,1,0,1
-0.0001085,b01000011,1,1,1,0,1
-0.00010825,b01000011,1,1,1,0,1
-0.000108,b01000011,1,1,1,0,1
-0.00010775,b01000011,1,1,1,0,1
-0.0001075,b01000011,1,1,1,0,1
-0.00010725,b01000011,1,1,1,0,1
-0.000107,b01000011,1,1,1,0,1
-0.00010675,b01000011,1,1,1,0,1
-0.0001065,b01000011,1,1,1,0,1
-0.00010625,b01000011,1,1,1,0,1
-0.000106,b01000011,1,1,1,0,1
-0.00010575,b01000011,1,1,1,0,1
-0.0001055,b01000011,1,1,1,0,1
-0.00010525,b01000011,1,1,1,0,1
-0.000105,b01000011,1,1,1,0,1
-0.00010475,b01000011,1,1,1,0,1
-0.0001045,b01000011,1,1,1,0,1
-0.00010425,b01000011,1,1,1,0,1
-0.000104,b01000011,1,1,1,0,1
-0.00010375,b01000011,1,1,1,0,1
-0.0001035,b01000011,1,1,1,0,1
-0.00010325,b01000011,1,1,1,0,1
-0.000103,b01000011,1,1,1,0,1
-0.00010275,b01000011,1,1,1,0,1
-0.0001025,b01000011,1,1,1,0,1
-0.00010225,b01000011,1,1,1,0,1
-0.000102,b01000011,1,1,1,0,1
-0.00010175,b01000011,1,1,1,0,1
-0.0001015,b01000011,1,1,1,0,1
-0.00010125,b01000011,1,1,1,0,1
-0.000101,b01000011,1,1,1,0,1
-0.00010075,b01000011,1,1,1,0,1
-0.0001005,b01000011,1,1,1,0,1
-0.00010025,b01000011,1,1,1,0,1
-0.0001,b01000011,1,1,1,0,1
-9.975e-05,b01000011,1,1,1,0,1
-9.950000000000001e-05,b01000011,1,1,1,0,1
-9.925e-05,b01000011,1,1,1,0,1
-9.899999999999999e-05,b01000011,1,1,1,0,1
-9.875e-05,b01000011,1,1,1,0,1
-9.85e-05,b01000011,1,1,1,0,1
-9.825e-05,b01000011,1,1,1,0,1
-9.8e-05,b01000011,1,1,1,0,1
-9.775e-05,b01000011,1,1,1,0,1
-9.75e-05,b01000011,1,1,1,0,1
